ሀጘ	U+1200 U+1318	
ሀጙ	U+1200 U+1319	
ሀጚ	U+1200 U+131A	
ሀጜ	U+1200 U+131C	
ሀⶓ	U+1200 U+2D93	
ሀⶔ	U+1200 U+2D94	
ሀⶖ	U+1200 U+2D96	
ህጘ	U+1205 U+1318	
ህጙ	U+1205 U+1319	
ህጚ	U+1205 U+131A	
ህጜ	U+1205 U+131C	
ህⶓ	U+1205 U+2D93	
ህⶔ	U+1205 U+2D94	
ህⶖ	U+1205 U+2D96	
ሠጘ	U+1220 U+1318	
ሠጙ	U+1220 U+1319	
ሠጚ	U+1220 U+131A	
ሠጜ	U+1220 U+131C	
ሠⶓ	U+1220 U+2D93	
ሠⶔ	U+1220 U+2D94	
ሠⶖ	U+1220 U+2D96	
ሀጛ	U+1200 U+131B	
ህጛ	U+1205 U+131B	
ሠጛ	U+1220 U+131B	
ሁዀ	U+1201 U+12C0	
ሁዂ	U+1201 U+12C2	
ሁዃ	U+1201 U+12C3	
ሁዄ	U+1201 U+12C4	
ሁዅ	U+1201 U+12C5	ኣከጃሁዅ
ሡዀ	U+1221 U+12C0	
ሡዂ	U+1221 U+12C2	
ሡዃ	U+1221 U+12C3	
ሡዄ	U+1221 U+12C4	
ሡዅ	U+1221 U+12C5	
ዙዀ	U+12D9 U+12C0	
ዙዂ	U+12D9 U+12C2	
ዙዃ	U+12D9 U+12C3	
ዙዄ	U+12D9 U+12C4	
ዙዅ	U+12D9 U+12C5	ግእዙዅዲት	ግእዙዅል	ግእዙዅ
ጉዀ	U+1309 U+12C0	
ጉዂ	U+1309 U+12C2	
ጉዃ	U+1309 U+12C3	
ጉዄ	U+1309 U+12C4	
ጉዅ	U+1309 U+12C5	ናሽጉዅሲ	ጐድጉዅ	ነጨጉዅ	አግርጉዅ	ሓምሮጉዅሉ	መሽጉዅ	መሸጉዅ	አርጉዅ	እርጉዅሉ	ዓረጉዅ	ሀደጉዅ	እርጉዅ
ጡዀ	U+1321 U+12C0	
ጡዂ	U+1321 U+12C2	
ጡዃ	U+1321 U+12C3	
ጡዄ	U+1321 U+12C4	
ጡዅ	U+1321 U+12C5	
᎙ዀ	U+1399 U+12C0	
᎙ዂ	U+1399 U+12C2	
᎙ዃ	U+1399 U+12C3	
᎙ዄ	U+1399 U+12C4	
᎙ዅ	U+1399 U+12C5	
ⷙዀ	U+2DD9 U+12C0	
ⷙዂ	U+2DD9 U+12C2	
ⷙዃ	U+2DD9 U+12C3	
ⷙዄ	U+2DD9 U+12C4	
ⷙዅ	U+2DD9 U+12C5	
ꬑዀ	U+AB11 U+12C0	
ꬑዂ	U+AB11 U+12C2	
ꬑዃ	U+AB11 U+12C3	
ꬑዄ	U+AB11 U+12C4	
ꬑዅ	U+AB11 U+12C5	
ሁጘ	U+1201 U+1318	
ሁጙ	U+1201 U+1319	
ሁጚ	U+1201 U+131A	
ሁጜ	U+1201 U+131C	
ሁⶓ	U+1201 U+2D93	
ሁⶔ	U+1201 U+2D94	
ሁⶖ	U+1201 U+2D96	
ሡጘ	U+1221 U+1318	
ሡጙ	U+1221 U+1319	
ሡጚ	U+1221 U+131A	
ሡጜ	U+1221 U+131C	
ሡⶓ	U+1221 U+2D93	
ሡⶔ	U+1221 U+2D94	
ሡⶖ	U+1221 U+2D96	
ዙጘ	U+12D9 U+1318	
ዙጙ	U+12D9 U+1319	
ዙጚ	U+12D9 U+131A	
ዙጜ	U+12D9 U+131C	
ዙⶓ	U+12D9 U+2D93	
ዙⶔ	U+12D9 U+2D94	
ዙⶖ	U+12D9 U+2D96	
ጉጘ	U+1309 U+1318	
ጉጙ	U+1309 U+1319	
ጉጚ	U+1309 U+131A	
ጉጜ	U+1309 U+131C	
ጉⶓ	U+1309 U+2D93	
ጉⶔ	U+1309 U+2D94	
ጉⶖ	U+1309 U+2D96	
ጡጘ	U+1321 U+1318	
ጡጙ	U+1321 U+1319	
ጡጚ	U+1321 U+131A	
ጡጜ	U+1321 U+131C	
ጡⶓ	U+1321 U+2D93	
ጡⶔ	U+1321 U+2D94	
ጡⶖ	U+1321 U+2D96	
᎙ጘ	U+1399 U+1318	
᎙ጙ	U+1399 U+1319	
᎙ጚ	U+1399 U+131A	
᎙ጜ	U+1399 U+131C	
᎙ⶓ	U+1399 U+2D93	
᎙ⶔ	U+1399 U+2D94	
᎙ⶖ	U+1399 U+2D96	
ⷙጘ	U+2DD9 U+1318	
ⷙጙ	U+2DD9 U+1319	
ⷙጚ	U+2DD9 U+131A	
