ሁቐ	U+1201 U+1250	
ሁቑ	U+1201 U+1251	
ሁቒ	U+1201 U+1252	
ሁቔ	U+1201 U+1254	
ሁቘ	U+1201 U+1258	
ሁቚ	U+1201 U+125A	
ሁቝ	U+1201 U+125D	
ሡቐ	U+1221 U+1250	
ሡቑ	U+1221 U+1251	
ሡቒ	U+1221 U+1252	
ሡቔ	U+1221 U+1254	
ሡቘ	U+1221 U+1258	
ሡቚ	U+1221 U+125A	
ሡቝ	U+1221 U+125D	
ዙቐ	U+12D9 U+1250	
ዙቑ	U+12D9 U+1251	
ዙቒ	U+12D9 U+1252	
ዙቔ	U+12D9 U+1254	
ዙቘ	U+12D9 U+1258	
ዙቚ	U+12D9 U+125A	
ዙቝ	U+12D9 U+125D	
ጉቐ	U+1309 U+1250	
ጉቑ	U+1309 U+1251	
ጉቒ	U+1309 U+1252	
ጉቔ	U+1309 U+1254	
ጉቘ	U+1309 U+1258	
ጉቚ	U+1309 U+125A	
ጉቝ	U+1309 U+125D	
ጡቐ	U+1321 U+1250	
ጡቑ	U+1321 U+1251	
ጡቒ	U+1321 U+1252	
ጡቔ	U+1321 U+1254	
ጡቘ	U+1321 U+1258	
ጡቚ	U+1321 U+125A	
ጡቝ	U+1321 U+125D	
᎙ቐ	U+1399 U+1250	
᎙ቑ	U+1399 U+1251	
᎙ቒ	U+1399 U+1252	
᎙ቔ	U+1399 U+1254	
᎙ቘ	U+1399 U+1258	
᎙ቚ	U+1399 U+125A	
᎙ቝ	U+1399 U+125D	
ⷙቐ	U+2DD9 U+1250	
ⷙቑ	U+2DD9 U+1251	
ⷙቒ	U+2DD9 U+1252	
ⷙቔ	U+2DD9 U+1254	
ⷙቘ	U+2DD9 U+1258	
ⷙቚ	U+2DD9 U+125A	
ⷙቝ	U+2DD9 U+125D	
ꬑቐ	U+AB11 U+1250	
ꬑቑ	U+AB11 U+1251	
ꬑቒ	U+AB11 U+1252	
ꬑቔ	U+AB11 U+1254	
ꬑቘ	U+AB11 U+1258	
ꬑቚ	U+AB11 U+125A	
ꬑቝ	U+AB11 U+125D	
ሁቓ	U+1201 U+1253	
ሁቜ	U+1201 U+125C	
ሡቓ	U+1221 U+1253	
ሡቜ	U+1221 U+125C	
ዙቓ	U+12D9 U+1253	
ዙቜ	U+12D9 U+125C	
ጉቓ	U+1309 U+1253	
ጉቜ	U+1309 U+125C	
ጡቓ	U+1321 U+1253	ዑጡቓት	ዕጡቓትን	ብዕጡቓት	ዕጡቓት
ጡቜ	U+1321 U+125C	
᎙ቓ	U+1399 U+1253	
᎙ቜ	U+1399 U+125C	
ⷙቓ	U+2DD9 U+1253	
ⷙቜ	U+2DD9 U+125C	
ꬑቓ	U+AB11 U+1253	
ꬑቜ	U+AB11 U+125C	
ሁኸ	U+1201 U+12B8	
ሁኹ	U+1201 U+12B9	
ሁኺ	U+1201 U+12BA	
ሁኻ	U+1201 U+12BB	
ሁኼ	U+1201 U+12BC	
ሁኽ	U+1201 U+12BD	
ሁኾ	U+1201 U+12BE	
ሁዀ	U+1201 U+12C0	
ሁዂ	U+1201 U+12C2	
ሁዃ	U+1201 U+12C3	
ሁዄ	U+1201 U+12C4	
ሁዅ	U+1201 U+12C5	
ሡኸ	U+1221 U+12B8	
ሡኹ	U+1221 U+12B9	
ሡኺ	U+1221 U+12BA	
ሡኻ	U+1221 U+12BB	
ሡኼ	U+1221 U+12BC	
ሡኽ	U+1221 U+12BD	
ሡኾ	U+1221 U+12BE	
ሡዀ	U+1221 U+12C0	
ሡዂ	U+1221 U+12C2	
ሡዃ	U+1221 U+12C3	
ሡዄ	U+1221 U+12C4	
ሡዅ	U+1221 U+12C5	
ዙኸ	U+12D9 U+12B8	
ዙኹ	U+12D9 U+12B9	
ዙኺ	U+12D9 U+12BA	
ዙኻ	U+12D9 U+12BB	
ዙኼ	U+12D9 U+12BC	
ዙኽ	U+12D9 U+12BD	
ዙኾ	U+12D9 U+12BE	
ዙዀ	U+12D9 U+12C0	
ዙዂ	U+12D9 U+12C2	
ዙዃ	U+12D9 U+12C3	
ዙዄ	U+12D9 U+12C4	
ዙዅ	U+12D9 U+12C5	
ጉኸ	U+1309 U+12B8	
ጉኹ	U+1309 U+12B9	
ጉኺ	U+1309 U+12BA	
ጉኻ	U+1309 U+12BB	
ጉኼ	U+1309 U+12BC	
ጉኽ	U+1309 U+12BD	
ጉኾ	U+1309 U+12BE	
ጉዀ	U+1309 U+12C0	
ጉዂ	U+1309 U+12C2	
ጉዃ	U+1309 U+12C3	
ጉዄ	U+1309 U+12C4	
ጉዅ	U+1309 U+12C5	
ጡኸ	U+1321 U+12B8	
ጡኹ	U+1321 U+12B9	
ጡኺ	U+1321 U+12BA	
ጡኻ	U+1321 U+12BB	
ጡኼ	U+1321 U+12BC	
ጡኽ	U+1321 U+12BD	
ጡኾ	U+1321 U+12BE	
ጡዀ	U+1321 U+12C0	
ጡዂ	U+1321 U+12C2	
ጡዃ	U+1321 U+12C3	
ጡዄ	U+1321 U+12C4	
ጡዅ	U+1321 U+12C5	
᎙ኸ	U+1399 U+12B8	
᎙ኹ	U+1399 U+12B9	
᎙ኺ	U+1399 U+12BA	
᎙ኻ	U+1399 U+12BB	
᎙ኼ	U+1399 U+12BC	
᎙ኽ	U+1399 U+12BD	
᎙ኾ	U+1399 U+12BE	
