ሀሐ	U+1200 U+1210	
ሀሔ	U+1200 U+1214	
ሀሕ	U+1200 U+1215	
ሀሚ	U+1200 U+121A	ፈሀሚ	ፈሀሚስሮና	ፈሀሚስናዲ	ፈሀሚስኒ	ተሀሚ	ሀሚልተን	ሀሚድ
ሀማ	U+1200 U+121B	በሀማስ	ሀማድ	የሀማስ	ሙሀማዱ	መሀማዱ	ሀማስ
ሀሜ	U+1200 U+121C	
ሀም	U+1200 U+121D	ፈሀምደኵር	ፈሀምኒ	ፈሀምደት	ፈሀምገው	ፈሀምስሮ	ፋሀምስጘናዂ	ፈሀምስጚድኖ	ፈሀምሮ	ፈሀምስጚነዃ	ፈሀምልድ	ፈሀምኑዅን	ፈሀምኑዅ	ፈሀምስግኒን	ፈሀምድር	ፈሀምሊ	ናፈሀምና	ፈሀምስጝና	ፈሀምሮሉ	ፈሀምናዅሉ	ፈሀምድሮ	ፈሀምስጝረዅሲ	ፈሀምሮኽር	ፈሀምድኖኽር	ፈሀምነሰሉ	ፈሀምስጘ	ፈሀምስጚድኖኽር	ፈሀምሶካማ	ፈሀምነዲ	ፈሀምስጚነ	ሰሀምሊ	ተፈሀምሲድኖኽር	ፈሀምድኖሉ	ፈሀምቶኽር	ተፈሀምና	ሀምገምድ	ፈሀምስሮና	ፈሀምሰናዂ	ፈሀምድቶ	ፈሀምዲስቲ	ፈሀምሰነክ	ፈሀምስጚኒዅ	ፈሀምዲሱዅ	ፈሀምድኖ	ፈሀምሲ	ፈሀምድ	ፈሀምና	ፈሀምስጘነው	ፈሀምዲ	ፈሀምንዅን	ፈሀምኖ	ፈሀም	ከሀምሌ	የሀምቡርግ	ሀምበርግ	ቶትንሀም	የሀምበርግ	አብርሀም	ሀምሳኛ	የሀምሳ	ሀምሣ	በሀምበርግ	ሀምቡርግ	ከሀምሳ	በሀምቡርግ	ሀምሌ	ሀምሳ
ሀሟ	U+1200 U+121F	
ሀሥ	U+1200 U+1225	
ሀረ	U+1200 U+1228	ሰሀረአው	ሀረሪት	ሰሀረገው	ሰሀረናዅዲ	ሀረከክና	ሰሀረው	ሰሀረኒ	በሀረር	ሀረሪ	ሀረር	ሀረኬይንን	ሀረኬን	ሀረግ
ሀሪ	U+1200 U+122A	በሀሪዲ	ብሀሪ	በሀሪ	የቡሀሪ	መሀሪ	ሀሪሪ	ሙትሀሪካ	ቡሀሪን	ሀሪኬን	መምሀሪ	ቡሀሪ
ሀራ	U+1200 U+122B	ሰሀራዅዲ	ሰሀራዅ	ሀራምን	ሀራሬ	ሰሀራ	ከሰሀራ	ሀራም
ሀሯ	U+1200 U+122F	
