ሂብ	U+1202 U+1265
ሂጊ	U+1202 U+130A
ሂግ	U+1202 U+130D
ሂሚ	U+1202 U+121A
ሂጛ	U+1202 U+131B
ሂዒ	U+1202 U+12D2
ሂዔ	U+1202 U+12D4
ሂት	U+1202 U+1275
ሂኅ	U+1202 U+1285
ሆⶅ	U+1206 U+2D85
ሆፈ	U+1206 U+1348
ሆጋ	U+1206 U+130B
ሆሇ	U+1206 U+1207
ሆሒ	U+1206 U+1212
ሆቃ	U+1206 U+1243
ሆረ	U+1206 U+1228
ሆሥ	U+1206 U+1225
ሆⶏ	U+1206 U+2D8F
ሆይ	U+1206 U+12ED
ሆⶋ	U+1206 U+2D8B
ሇጋ	U+1207 U+130B
ሇሒ	U+1207 U+1212
ሇሓ	U+1207 U+1213
ሇለ	U+1207 U+1208
ሇቃ	U+1207 U+1243
ሇቑ	U+1207 U+1251
ሇረ	U+1207 U+1228
ሇሥ	U+1207 U+1225
ሇⶏ	U+1207 U+2D8F
ሇⶋ	U+1207 U+2D8B
ለኸ	U+1208 U+12B8
ለኽ	U+1208 U+12BD
ሉደ	U+1209 U+12F0
ሉጋ	U+1209 U+130B
ሉቃ	U+1209 U+1243
ሉሥ	U+1209 U+1225
ሊብ	U+120A U+1265
ሊች	U+120A U+127D
ሊጭ	U+120A U+132D
ሊፋ	U+120A U+134B
ሊገ	U+120A U+1308
ሊጊ	U+120A U+130A
ሊግ	U+120A U+130D
ሊኸ	U+120A U+12B8
ሊኹ	U+120A U+12B9
ሊኺ	U+120A U+12BA
ሊኻ	U+120A U+12BB
ሊኽ	U+120A U+12BD
ሊኾ	U+120A U+12BE
ሊሚ	U+120A U+121A
ሊማ	U+120A U+121B
ሊሞ	U+120A U+121E
ሊና	U+120A U+1293
ሊን	U+120A U+1295
ሊኖ	U+120A U+1296
ሊዒ	U+120A U+12D2
ሊዔ	U+120A U+12D4
ሊቀ	U+120A U+1240
ሊቅ	U+120A U+1245
ሊቑ	U+120A U+1251
ሊቚ	U+120A U+125A
ሊሳ	U+120A U+1233
ሊሽ	U+120A U+123D
ሊት	U+120A U+1275
ሊኅ	U+120A U+1285
ሌግ	U+120C U+130D
ሌኸ	U+120C U+12B8
ሌኹ	U+120C U+12B9
ሌኺ	U+120C U+12BA
ሌኻ	U+120C U+12BB
ሌኽ	U+120C U+12BD
ሌኾ	U+120C U+12BE
ሌን	U+120C U+1295
ሌዒ	U+120C U+12D2
ሌዔ	U+120C U+12D4
ሌሽ	U+120C U+123D
ልገ	U+120D U+1308
ልጊ	U+120D U+130A
ልግ	U+120D U+130D
ልኸ	U+120D U+12B8
ልኹ	U+120D U+12B9
ልኺ	U+120D U+12BA
ልኻ	U+120D U+12BB
ልኽ	U+120D U+12BD
ልኾ	U+120D U+12BE
ልሚ	U+120D U+121A
ልማ	U+120D U+121B
ልን	U+120D U+1295
ልዒ	U+120D U+12D2
ልዔ	U+120D U+12D4
ልሽ	U+120D U+123D
ልኅ	U+120D U+1285
ልዩ	U+120D U+12E9
ሒፋ	U+1212 U+134B
ሒገ	U+1212 U+1308
ሒጊ	U+1212 U+130A
