ሀሏ	U+1200 U+120F
ሀሐ	U+1200 U+1210
ሀሔ	U+1200 U+1214
ሀሕ	U+1200 U+1215
ሀሚ	U+1200 U+121A
ሀማ	U+1200 U+121B
ሀሜ	U+1200 U+121C
ሀም	U+1200 U+121D
ሀሟ	U+1200 U+121F
ሀሥ	U+1200 U+1225
ሀረ	U+1200 U+1228
ሀሪ	U+1200 U+122A
ሀራ	U+1200 U+122B
ሀሯ	U+1200 U+122F
ሀሰ	U+1200 U+1230
ሀሲ	U+1200 U+1232
ሀሴ	U+1200 U+1234
ሀስ	U+1200 U+1235
ሀሶ	U+1200 U+1236
ሀቃ	U+1200 U+1243
ሀበ	U+1200 U+1260
ሀቢ	U+1200 U+1262
ሀቦ	U+1200 U+1266
ሀታ	U+1200 U+1273
ሀቻ	U+1200 U+127B
ሀኋ	U+1200 U+128B
ሀአ	U+1200 U+12A0
ሀኢ	U+1200 U+12A2
ሀእ	U+1200 U+12A5
ሀዕ	U+1200 U+12D5
ሀየ	U+1200 U+12E8
ሀዩ	U+1200 U+12E9
ሀዪ	U+1200 U+12EA
ሀያ	U+1200 U+12EB
ሀዬ	U+1200 U+12EC
ሀይ	U+1200 U+12ED
ሀዮ	U+1200 U+12EE
ሀደ	U+1200 U+12F0
ሀዱ	U+1200 U+12F1
ሀዲ	U+1200 U+12F2
ሀዳ	U+1200 U+12F3
ሀድ	U+1200 U+12F5
ሀዶ	U+1200 U+12F6
ሀጂ	U+1200 U+1302
ሀጅ	U+1200 U+1305
ሀጆ	U+1200 U+1306
ሀጋ	U+1200 U+130B
ሀጘ	U+1200 U+1318
ሀጙ	U+1200 U+1319
ሀጚ	U+1200 U+131A
ሀጛ	U+1200 U+131B
ሀጜ	U+1200 U+131C
ሀጠ	U+1200 U+1320
ሀጥ	U+1200 U+1325
ሀጨ	U+1200 U+1328
ሀጵ	U+1200 U+1335
ሀጻ	U+1200 U+133B
ሀፂ	U+1200 U+1342
ሀፃ	U+1200 U+1343
ሀፄ	U+1200 U+1344
ሀፈ	U+1200 U+1348
ሀፊ	U+1200 U+134A
ሀⶇ	U+1200 U+2D87
ሀⶓ	U+1200 U+2D93
ሀⶔ	U+1200 U+2D94
ሀⶖ	U+1200 U+2D96
ሀⷞ	U+1200 U+2DDE
ሀꬨ	U+1200 U+AB28
ሀꬩ	U+1200 U+AB29
ሀꬪ	U+1200 U+AB2A
ሀꬫ	U+1200 U+AB2B
ሀꬬ	U+1200 U+AB2C
ሀꬭ	U+1200 U+AB2D
ሀꬮ	U+1200 U+AB2E
ሁሇ	U+1201 U+1207
ሁላ	U+1201 U+120B
