ሀሐ	U+1200 U+1210
ሀሔ	U+1200 U+1214
ሀሕ	U+1200 U+1215
ሀሚ	U+1200 U+121A
ሀማ	U+1200 U+121B
ሀሜ	U+1200 U+121C
ሀም	U+1200 U+121D
ሀሟ	U+1200 U+121F
ሀሥ	U+1200 U+1225
ሀረ	U+1200 U+1228
ሀሪ	U+1200 U+122A
ሀራ	U+1200 U+122B
ሀሯ	U+1200 U+122F
ሀሰ	U+1200 U+1230
ሀሲ	U+1200 U+1232
ሀሴ	U+1200 U+1234
ሀስ	U+1200 U+1235
ሀሶ	U+1200 U+1236
ሀቃ	U+1200 U+1243
ሀበ	U+1200 U+1260
ሀቢ	U+1200 U+1262
ሀቦ	U+1200 U+1266
ሀታ	U+1200 U+1273
ሀቻ	U+1200 U+127B
ሀአ	U+1200 U+12A0
ሀኢ	U+1200 U+12A2
ሀእ	U+1200 U+12A5
ሀዕ	U+1200 U+12D5
ሀያ	U+1200 U+12EB
ሀይ	U+1200 U+12ED
ሀደ	U+1200 U+12F0
ሀዱ	U+1200 U+12F1
ሀዲ	U+1200 U+12F2
ሀዳ	U+1200 U+12F3
ሀድ	U+1200 U+12F5
ሀዶ	U+1200 U+12F6
ሀጂ	U+1200 U+1302
ሀጅ	U+1200 U+1305
ሀጆ	U+1200 U+1306
ሀጋ	U+1200 U+130B
ሀጠ	U+1200 U+1320
ሀጥ	U+1200 U+1325
ሀጨ	U+1200 U+1328
ሀጵ	U+1200 U+1335
ሀጻ	U+1200 U+133B
ሀፈ	U+1200 U+1348
ሀፊ	U+1200 U+134A
ሁቃ	U+1201 U+1243
ሁታ	U+1201 U+1273
ሁን	U+1201 U+1295
ሁኘ	U+1201 U+1298
ሁኙ	U+1201 U+1299
ሁኝ	U+1201 U+129D
ሁአ	U+1201 U+12A0
ሁኢ	U+1201 U+12A2
ሁእ	U+1201 U+12A5
ሁከ	U+1201 U+12A8
ሁካ	U+1201 U+12AB
ሁኬ	U+1201 U+12AC
ሁክ	U+1201 U+12AD
ሁኮ	U+1201 U+12AE
ሁጂ	U+1201 U+1302
ሁገ	U+1201 U+1308
ሁጉ	U+1201 U+1309
ሁጊ	U+1201 U+130A
ሁጵ	U+1201 U+1335
ሁጻ	U+1201 U+133B
ሁ፡	U+1201 U+1361
ሁ፣	U+1201 U+1363
ህሐ	U+1205 U+1210
ህሔ	U+1205 U+1214
ህሕ	U+1205 U+1215
ህሚ	U+1205 U+121A
ህማ	U+1205 U+121B
ህሜ	U+1205 U+121C
ህም	U+1205 U+121D
ህሟ	U+1205 U+121F
ህሥ	U+1205 U+1225
ህረ	U+1205 U+1228
ህሪ	U+1205 U+122A
ህራ	U+1205 U+122B
ህሯ	U+1205 U+122F
ህሰ	U+1205 U+1230
ህሲ	U+1205 U+1232
ህሴ	U+1205 U+1234
ህስ	U+1205 U+1235
ህሶ	U+1205 U+1236
ህቃ	U+1205 U+1243
ህበ	U+1205 U+1260
ህቢ	U+1205 U+1262
ህቦ	U+1205 U+1266
ህታ	U+1205 U+1273
ህቻ	U+1205 U+127B
ህአ	U+1205 U+12A0
ህኢ	U+1205 U+12A2
ህእ	U+1205 U+12A5
ህዕ	U+1205 U+12D5
ህያ	U+1205 U+12EB
ህይ	U+1205 U+12ED
ህደ	U+1205 U+12F0
ህዱ	U+1205 U+12F1
ህዲ	U+1205 U+12F2
ህዳ	U+1205 U+12F3
ህድ	U+1205 U+12F5
ህዶ	U+1205 U+12F6
ህጂ	U+1205 U+1302
ህጅ	U+1205 U+1305
ህጆ	U+1205 U+1306
ህጋ	U+1205 U+130B
ህጠ	U+1205 U+1320
ህጥ	U+1205 U+1325
ህጨ	U+1205 U+1328
ህጵ	U+1205 U+1335
ህጻ	U+1205 U+133B
ህፈ	U+1205 U+1348
ህፊ	U+1205 U+134A
ሆለ	U+1206 U+1208
ሆሉ	U+1206 U+1209
ሆሊ	U+1206 U+120A
ሆላ	U+1206 U+120B
ሆሌ	U+1206 U+120C
ሆል	U+1206 U+120D
ሆሎ	U+1206 U+120E
ሆሐ	U+1206 U+1210
ሆሔ	U+1206 U+1214
ሆሕ	U+1206 U+1215
ሆመ	U+1206 U+1218
ሆሙ	U+1206 U+1219
ሆሥ	U+1206 U+1225
ሆረ	U+1206 U+1228
ሆሩ	U+1206 U+1229
ሆሪ	U+1206 U+122A
ሆራ	U+1206 U+122B
ሆር	U+1206 U+122D
ሆሮ	U+1206 U+122E
ሆሯ	U+1206 U+122F
ሆሰ	U+1206 U+1230
ሆሲ	U+1206 U+1232
ሆሳ	U+1206 U+1233
ሆሴ	U+1206 U+1234
ሆስ	U+1206 U+1235
ሆሶ	U+1206 U+1236
ሆሸ	U+1206 U+1238
ሆሻ	U+1206 U+123B
ሆሽ	U+1206 U+123D
ሆቀ	U+1206 U+1240
ሆቁ	U+1206 U+1241
ሆቃ	U+1206 U+1243
ሆቅ	U+1206 U+1245
ሆቆ	U+1206 U+1246
ሆበ	U+1206 U+1260
ሆቢ	U+1206 U+1262
ሆብ	U+1206 U+1265
ሆቦ	U+1206 U+1266
ሆተ	U+1206 U+1270
ሆቱ	U+1206 U+1271
ሆታ	U+1206 U+1273
ሆቴ	U+1206 U+1274
ሆት	U+1206 U+1275
ሆቶ	U+1206 U+1276
ሆቸ	U+1206 U+1278
ሆቻ	U+1206 U+127B
ሆች	U+1206 U+127D
ሆኃ	U+1206 U+1283
ሆን	U+1206 U+1295
ሆኘ	U+1206 U+1298
ሆኙ	U+1206 U+1299
ሆአ	U+1206 U+12A0
ሆኢ	U+1206 U+12A2
ሆእ	U+1206 U+12A5
ሆወ	U+1206 U+12C8
ሆው	U+1206 U+12CD
ሆዐ	U+1206 U+12D0
ሆዕ	U+1206 U+12D5
ሆያ	U+1206 U+12EB
ሆይ	U+1206 U+12ED
ሆደ	U+1206 U+12F0
ሆዱ	U+1206 U+12F1
ሆዲ	U+1206 U+12F2
ሆዳ	U+1206 U+12F3
ሆድ	U+1206 U+12F5
ሆዶ	U+1206 U+12F6
ሆጆ	U+1206 U+1306
ሆገ	U+1206 U+1308
ሆጉ	U+1206 U+1309
ሆጊ	U+1206 U+130A
ሆጋ	U+1206 U+130B
ሆጠ	U+1206 U+1320
ሆጣ	U+1206 U+1323
ሆጥ	U+1206 U+1325
ሆጨ	U+1206 U+1328
ሆጭ	U+1206 U+132D
ሆጮ	U+1206 U+132E
ሆጵ	U+1206 U+1335
ሆጻ	U+1206 U+133B
ሆፈ	U+1206 U+1348
ሆፉ	U+1206 U+1349
ሆፊ	U+1206 U+134A
ሆ።	U+1206 U+1362
ሆ፦	U+1206 U+1366
ለሀ	U+1208 U+1200
ለሁ	U+1208 U+1201
ለህ	U+1208 U+1205
ለሆ	U+1208 U+1206
ለላ	U+1208 U+120B
ለመ	U+1208 U+1218
ለሙ	U+1208 U+1219
ለሚ	U+1208 U+121A
ለማ	U+1208 U+121B
ለሜ	U+1208 U+121C
ለም	U+1208 U+121D
ለሞ	U+1208 U+121E
ለሟ	U+1208 U+121F
