ሀሐ	U+1200 U+1210	
ሀሔ	U+1200 U+1214	
ሀሕ	U+1200 U+1215	
ሀሚ	U+1200 U+121A	ፈሀሚ	ፈሀሚስሮና	ፈሀሚስናዲ	ፈሀሚስኒ	ተሀሚ	ሀሚልተን
ሀማ	U+1200 U+121B	በሀማስ	ሀማድ	የሀማስ	ሙሀማዱ	መሀማዱ	ሀማስ
ሀሜ	U+1200 U+121C	
ሀም	U+1200 U+121D	ፈሀምደኵር	ፈሀምኒ	ፈሀምደት	ፈሀምገው	ፈሀምስሮ	ፋሀምስጘናዂ
ሀሟ	U+1200 U+121F	
ሀሥ	U+1200 U+1225	
ሀረ	U+1200 U+1228	ሰሀረአው	ሀረሪት	ሰሀረገው	ሰሀረናዅዲ	ሀረከክና	ሰሀረው
ሀሪ	U+1200 U+122A	በሀሪዲ	ብሀሪ	በሀሪ	የቡሀሪ	መሀሪ	ሀሪሪ
ሀራ	U+1200 U+122B	ሰሀራዅዲ	ሰሀራዅ	ሀራምን	ሀራሬ	ሰሀራ	ከሰሀራ
ሀሯ	U+1200 U+122F	
ሀሰ	U+1200 U+1230	ሀሰሰጋዅ	መሀሰውኵ	ሀሰድንኹንሎም	ሀሰሶት	ሀሰስድኖ	ሀሰስ
ሀሲ	U+1200 U+1232	ሰሀሲ
ሀሴ	U+1200 U+1234	ነሀሴ
ሀስ	U+1200 U+1235	ስሀስኽር	የንሀስ	የነሀስ
ሀሶ	U+1200 U+1236	
ሀቃ	U+1200 U+1243	
ሀበ	U+1200 U+1260	ሀበኵ	ሀበነኵ	ሀበኲ	ሀበው	ሀበሊኪ	ሀበኲሎም
ሀቢ	U+1200 U+1262	ሀቢዅና	ሀቢትኖ	ሀቢን	ሀቢሮሎም	ሀቢኒዅሉ	ሀቢነውድ
ሀቦ	U+1200 U+1266	
ሀታ	U+1200 U+1273	
ሀቻ	U+1200 U+127B	
ሀአ	U+1200 U+12A0	
ሀኢ	U+1200 U+12A2	
ሀእ	U+1200 U+12A5	
ሀዕ	U+1200 U+12D5	
ሀያ	U+1200 U+12EB	ለሀያ	ሀያኛ	የሀያ	ከሀያ	በሀያ	ሀያ
ሀይ	U+1200 U+12ED	ላደሀይሲ	ኒደሀይድ	ረሀይድኖር	ሀይ	ረሀይድና	ላደሀይዲ
ሀደ	U+1200 U+12F0	ሀደግሳዅሊ	ሀደግሰስና	ሀደግሰውዲ	መሀደኵ	ሀደግናዅ	ወተሀደር
ሀዱ	U+1200 U+12F1	ከገሀዱ	አሀዱ	እንዲዋሀዱ	ገሀዱ
